1120,"26"" ROUND KEYSTONE GROTTO(18"")",125
1130,"36"" ROUND KEYSTONE GROTTO(26"")",233
1135,"52"" ROUND KEYSTONE GROTTO(36"")",403
1140,"POINTED GROTTO(FOR 26"" STATUE)",180
1180,SMALL SITTING ANGEL           ,70
1190,PRAYING ANGEL                 ,95
1195,LARGE ANGEL ON ROCK           ,85
1205,BABY SITTING ANGEL BLOWING KIS,63
1210,LYING DOWN ANGEL              ,65
1215,BABY SITTING ANGEL            ,63
1220,STAR GAZER GIRL               ,65
1225,STAR GAZER BOY                ,65
1230,LARGE PRAYING ANGEL           ,98
1255,"29"" ANGEL WITH DOVE           ",130
1260,"26"" SITTING ANGEL             ",283
1265,"33"" STANDING ANGEL            ",393
1270,"27"" KNEELING ANGEL            ",393
1280,"14"" SM SITING ANGL BLWING KISS",65
1295,"16"" SITTING ANGEL             ",73
1305,"25"" ANGEL MAN - HARMONY       ",130
1310,"25"" ANGEL WOMAN - HARMONY     ",130
1315,"ROUND GROTTO (FOR 26"" STATUE) ",158
1320,"POINTED GROTTO(FOR 18"" STATUE)",90
1325,"28"" ROSEBUD ANGEL WITH FEEDER ",143
1330,"28"" ROSEBUD ANGEL             ",143
1335,MY GUARDIAN DOG               ,103
1340,MY GUARDIAN CAT               ,95
1350,MY GUARDIAN ANGEL             ,103
1355,LAYDOWN GUARDIAN DOG ANGEL    ,103
1360,LAYDOWN GUARDIAN CAT ANGEL    ,95
1365,"43"" GARDEN CROSS              ",425
1366,"24"" CELTIC CROSS              ",128
1380,GABRIELLE                     ,500
1390,DIVINO NINO                   ,245
1395,"18"" POINTED INLAY CROSS GROTTO",95
1405,"27"" CHOIR ANGEL               ",153
1410,"39"" ETERNITY CROSS            ",288
1415,"18"" ROUND EMBOSSED DOT GROTTO ",90
1420,"26"" ROUND EMBOSSED DOT GROTTO ",165
1425,"ROUND GROTTO (FOR 36"" STATUE) ",358
1430,"9"" ELLA SHY ANGEL             ",75
1435,"11"" ELLA PRAYING ANGEL        ",75
1440,"10"" ELLA SITTING ANGEL        ",75
1445,"10"" ELLA ANGEL AND PUPPY      ",75
1450,"42"" ANGEL WITH ROSES          ",405
1721,SLIP FITTER FOR ACORN LAMP    ,78
1852,"10"" STONE-KEEP CALM AND PULL W",20
1853,"10"" STONE-EARTH LAUGHS IN FLOW",20
1854,"10"" STONE - CATS BEWARE       ",20
1855,"10"" STONE -OLD GARDENERS NEVER",20
1856,"10"" STONE-KEEP CALM AND KEEP D",20
1857,"10"" STONE -GARDENERS KNOW BEST",20
1858,"10"" STONE - GRANDAD'S GARDEN  ",20
1859,"10"" STONE - MUM'S GARDEN      ",20
1860,"10"" STONE -NEW GARDENERS LEARN",20
1861,"10""STONE-ALL GARDENERS ARE BED",20
1862,"10"" STONE -GARDENING IS A WORK",20
1863,"10"" STONE -GIVE A WEED AN INCH",20
1864,"10"" STONE - A GARDEN IS A FRIE",20
1865,"10"" STONE - I FOUGHT THE WEEDS",20
1866,"10"" STONE - GRANNY'S GARDEN   ",20
1867,"10"" STONE-BORN TO GARDEN FORCE",20
1868,"10"" STONE - HOME SWEET HOME   ",20
1869,"8"" STONE-RETIRED AND LOVING IT",15
1870,"8"" STONE - LOVE BLOOMS HERE   ",15
1871,"8"" STONE - ANGELS GATHER HERE ",15
1872,"8"" STONE - YOUNG AT HEART     ",15
1873,"10"" STONE - ORGANICALLY GROWN ",20
1874,"10"" STONE - SEE A WEED PULL A ",20
1875,"10"" STONE - DON'T JUST STAND T",20
1876,"10"" STONE-OLD GARDENERS NEVER ",20
1877,"10"" STONE-DELIGHT IN THE BEAUT",20
1878,"10"" STONE - HOME IS WHERE THE ",20
1879,"10"" STONE-THE RAINBOWS OF LIFE",20
1880,"10"" STONE - TEACHERS PLANT THE",20
1881,"10"" STONE - A GARDEN IS A GIFT",20
1882,"10"" STONE-A GARDEN IS A GLIMPS",20
1883,"10"" STONE - RAY, A DROP OF GOL",20
1884,"10"" STONE - WHO COULD ASK FOR ",20
1885,"10"" STONE - LOVE GROWS HERE   ",20
1886,"11"" STONE - WELCOME DOLPHIN   ",20
1887,"11"" STONE - WELCOME LIGHTHOUSE",20
1888,"10"" ROUND STONE - ARMY        ",33
1889,"10"" ROUND STONE - US AIR FORCE",33
1890,"10"" ROUND STONE - US NAVY     ",33
1891,"10"" ROUND STONE - US MARINE   ",33
1892,STEPPING STONE - TURTLE       ,63
1893,STEPPING STONE - LIZARD CURVED,60
1894,STEPPING STONE-LIZARD STRAIGHT,60
1895,"11"" STONE - WELCOME PINEAPPLE ",20
1896,"11"" STONE - WELCOME PIRATE    ",20
1897,"10"" STONE - A FRIEND IS A TREA",20
1898,"10"" STONE - WELCOME...PARADISE",20
1899,"10"" STONE - TOMORROW IS UNCERT",20
1903,STEPPING STONE FLIP FLOP - LFT,65
1904,STEPPING STONE FLIP FLOP - RT ,65
1905,"10"" STONE - LIFE IS GOOD      ",20
1906,STEPPING STONE - FOOTBALL     ,63
1907,STEPPING STONE - BASEBALL     ,63
1908,STEPPPING STONE - SOCCER      ,63
1909,"32"" ROUND FOUNTAIN PAD        ",128
1910,STEPPING STONE - ASIAN SPRING ,40
1911,STEPPING STONE - ASIAN SUMMER ,40
1912,STEPPING STONE - ASIAN AUTUMN ,40
1913,STEPPING STONE - ASIAN WINTER ,40
1914,"10"" ROUND STONE - US COAST GUA",33
1915,STEPPING STONE - NO DESIGN    ,63
1916,STEPPING STONE - LIGHTHOUSE   ,63
1917,"10"" STONE -I TRIED BUT IT DIED",20
1918,"10"" STONE - DAD'S GARDEN      ",20
1919,"10"" STONE - GROW DAMMIT       ",20
1920,"10"" STONE - SECRET GARDEN     ",20
1921,"10"" STONE - GRANDPA'S GARDEN  ",20
1922,"10"" STONE - WEED IT AND WEEP  ",20
1923,"10"" STONE - GRANDMA'S GARDEN  ",20
1924,HEART STONE - CAT LEAVE THEIR ,45
1925,HEART STONE - GROW OLD ALONG  ,45
1926,STEPPING STONE - AMISH WILKUM ,63
1927,STEPPING STONE - EAGLE        ,63
1928,STEPPING STONE - SUNFLOWER    ,63
1929,STEPPING STONE - SHIP         ,63
1930,STEPPING STONE - COMPASS      ,63
1931,"8"" STONE - FAITH              ",15
1932,"8"" STONE - HOPE               ",15
1933,"8"" STONE - LOVE               ",15
1934,"8"" STONE - IMAGINE            ",15
1935,"8"" STONE - PEACE              ",15
1936,"8"" STONE - WELCOME            ",15
1937,"8"" STONE - DREAM              ",15
