PL015,Orchid Pot,40
PL018,Corinthian Pot,60
PL019,English Planter,102
PL043,Small Revival Urn,124
PL045,Revival Urn,292
PL048,Provence Finial Pot,46
PL049,Sussex Urn,136
PL054,Large Lion Head Trough,82
PL055,Small Lion Head Trough,46
PL056,Large Florette Pot,186
PL057,Medium Florette Pot,92
PL065,Med Lion Head Trough,60
PL074,Large Garland Jardinière,312
PL081,Large Garland Urn,606
PL100,Lakeshore Urn,136
PL138,Classical Urn w/ Handles,544
PL140,Spanish Pot,200
PL141,Vintage Pot,144
PL144,Classic Urn,262
PL145,Large Classic Urn,334
PL149,Small Embellished Trough,102
PL151,Mexican Urn,74
PL152,Cute Craftsman Bowl,40
PL154,Cute Craftsman Urn,70
PL155,Rose Pot,144
PL156,Italian Planter,84
PL158,Vintage Urn,292
PL175,Devonshire Urn,330
PL177,Hampton Urn,46
PL199,Small Crestline urn,88
PL200,Crestline Urn,158
PL210,Bigsby Urn,124
PL215,Forest Park Trough,270
PL230,Cheshire Urn,158
PL240,Ansley Jardiniere,950
PL252,Holmes Beach Trough,250
PL258,Provence Urn,260
PL261,Modern Star Urn,250
PL262,Modern Star bowl,170
PL297,Woodlawn Bowl,60
PL305,Floral Medallion Urn,260
PL318,Angel Planter,292
PL360,Perfect Oval Urn,270
PL400,Boca Grande Urn,270
PL440,Fairfield Urn,292
PL451,Redmont Urn,200
PL452,Redmont Bowl,166
PL460,Wellington Urn,124
PL464,Ribbed Oval Urn,90
PL465,Large Fluted Oval Urn,110
PL466,Fluted Oval Bowl,70
PL475,Thornhurst Urn,418
PL476,Thornhurst Bowl,238
PL480,Derby Urn,124
PL481,Derby Bowl,74
PL485,English Village Urn,590
PL486,English Village Bowl,438
PL490,Tulip Pot,178
PL492,Tulip Vase,84
PL495,Birmingham Bowl,148
PL500,Holmes Beach Jardinière,250
PL525,Stone Vase,102
PL529,Small Fluted Trough,102
PL530,Fluted Urn,126
PL540,Regency Urn,788
PL550,Rough Hewn Trough,376
PL610,Self Watering Trough,312
PL700,20” Modern Box Planter,312
PL720,36”Modern Box Trough,606
PL730,30” Modern Box Planter,460
PL732,Tall Modern Box planter,790
PL810,Large Architectural Dish,1040
PL819,Mammoth Pot,522
PL821,Large Square Planter,396
PL829,Small Square Planter,166
PL835,Square Basket Trough,186
PL840,Veranda Urn & Plinth,376
PL845,Large Dish,208
PL847,Great Planter,250
PL848,Great Planter II,92
PL849,Great Planter III,74
